train_id,fitness_certificate_status,job_card_status,branding_priority,mileage,cleaning_slot_available,stabling_bay
T01,OK,Closed,High,12500,Yes,B01
T02,OK,Closed,Low,8500,Yes,B02
T03,Expired,Open,Medium,15000,No,IBL
T04,OK,Open,High,9200,Yes,IBL
T05,Warning,Closed,Low,21000,Yes,B03
T06,OK,Closed,Medium,11500,Yes,B04
T07,OK,Closed,High,5500,Yes,B05
T08,OK,Closed,Low,35000,Yes,B06
T09,Warning,Open,Medium,42000,No,IBL
T10,OK,Closed,Medium,23000,Yes,B07
T11,OK,Closed,Low,18700,Yes,B08
T12,OK,Closed,High,14200,Yes,B09
T13,OK,Closed,Medium,29500,Yes,B10
T14,Expired,Open,Low,51000,No,IBL
T15,OK,Closed,High,9800,Yes,B11
T16,OK,Closed,Low,31000,Yes,B12
T17,OK,Closed,Medium,22500,Yes,B13
T18,Warning,Closed,High,48000,Yes,B14
T19,OK,Closed,Low,17000,Yes,B15
T20,OK,Closed,Medium,33000,Yes,B16
T21,OK,Closed,High,11200,Yes,B17
T22,OK,Closed,Low,26500,Yes,B18
T23,OK,Open,Medium,19800,No,IBL
T24,OK,Closed,Medium,41000,Yes,B19
T25,OK,Closed,High,6200,Yes,B20